timeout,repetition,tool,app,malware,coverage
180,1,humanoid,app-66,True,21.975
180,1,humanoid,app-67,True,0.0
180,1,humanoid,app-68,False,0.0
180,1,humanoid,app-69,False,0.0
180,1,humanoid,app-7,False,0.0
180,1,humanoid,app-70,False,0.0
180,1,humanoid,app-71,True,25.0
180,1,humanoid,app-72,False,0.0
180,1,humanoid,app-73,False,0.0
180,1,humanoid,app-74,True,0.0
180,1,humanoid,app-75,False,0.0
180,1,humanoid,app-76,True,0.0
180,1,humanoid,app-77,True,0.0
180,1,humanoid,app-78,True,22.785
180,1,humanoid,app-79,False,0.0
180,1,humanoid,app-8,False,0.0
180,1,humanoid,app-80,True,20.175
180,1,humanoid,app-81,False,0.0
180,1,humanoid,app-82,False,0.0
180,1,humanoid,app-83,True,0.0
180,1,humanoid,app-84,False,0.0
180,1,humanoid,app-85,True,0.0
180,1,humanoid,app-86,False,0.0
180,1,humanoid,app-87,False,0.0
180,1,humanoid,app-89,False,0.0
180,1,humanoid,app-9,True,0.0
180,1,humanoid,app-90,True,0.0
180,1,humanoid,app-91,False,0.0
180,1,humanoid,app-92,True,0.0
180,1,humanoid,app-94,False,0.0
180,1,humanoid,app-95,True,0.0
180,1,humanoid,app-96,True,0.0
180,1,humanoid,app-97,False,0.0
180,1,humanoid,app-98,False,0.0
180,1,humanoid,app-99,False,0.0
180,1,joke,app-1,True,0.0
180,1,joke,app-10,False,0.0
180,1,joke,app-100,True,0.0
180,1,joke,app-101,False,0.0
180,1,joke,app-102,False,0.0
180,1,joke,app-11,True,0.0
180,1,joke,app-12,False,0.0
180,1,joke,app-13,False,0.0
180,1,joke,app-14,False,0.0
180,1,joke,app-15,False,0.0
180,1,joke,app-16,True,0.0
180,1,joke,app-17,True,0.0
180,1,joke,app-18,True,0.0
180,1,joke,app-19,True,0.0
180,1,joke,app-2,False,0.0
180,1,joke,app-20,True,0.0
180,1,joke,app-21,True,0.0
180,1,joke,app-22,False,0.0
180,1,joke,app-23,True,0.0
180,1,joke,app-24,False,0.0
180,1,joke,app-26,True,0.0
180,1,joke,app-27,False,0.0
